Id,State,AgentInitMoney,AgentMoney,Talent,IsProducer,Purchases
0,2,1000.0,468.90067,0.2999131,true,146
1,1,1000.0,666.4945,0.10985255,true,116
2,7,1000.0,584.9602,0.49361783,true,143
3,1,1000.0,1724.7961,0.75329614,true,503
4,7,1000.0,584.9602,0.38984704,true,138
5,5,1000.0,830.1112,0.44498652,true,489
6,0,1000.0,540.2859,0.005850196,true,117
7,5,1000.0,830.1112,0.28522313,true,152
8,1,1000.0,666.4945,0.4552933,true,148
9,3,1000.0,530.48346,0.3807556,true,212
10,9,1000.0,603.78467,0.42019892,true,159
11,0,1000.0,544.2115,0.78621423,false,97
12,4,1000.0,464.4044,0.45835954,false,96
13,0,1000.0,541.0074,0.10341686,true,100
14,3,1000.0,530.48346,0.78932047,true,174
15,4,1000.0,466.0736,0.78838634,true,463
16,7,1000.0,584.9602,0.3983189,true,435
17,3,1000.0,530.48346,0.3028292,false,99
18,8,1000.0,550.03424,0.5251042,true,345
19,9,1000.0,603.78467,0.8649876,true,264
20,5,1000.0,830.1112,0.8633532,true,404
21,7,1000.0,584.9602,0.7041928,true,381
22,2,1000.0,468.90067,0.08643323,true,141
23,1,1000.0,666.4945,0.40411097,true,132
24,9,1000.0,603.78467,0.63655686,true,234
25,8,1000.0,550.03424,0.1315875,true,133
26,1,1000.0,666.4945,0.066907406,true,137
27,8,1000.0,550.03424,0.2911591,true,141
28,1,1000.0,666.4945,0.6101071,true,429
29,7,1000.0,584.9602,0.41971695,true,208
30,6,1000.0,474.9943,0.06143719,true,98
31,4,1000.0,465.70148,0.94146925,true,244
32,7,1000.0,584.9602,0.5115072,true,247
33,8,1000.0,1899.6611,0.7402646,true,509
34,2,1000.0,468.90067,0.9406129,true,246
35,8,1000.0,550.03424,0.374502,true,131
36,1,1000.0,666.4945,0.195808,false,114
37,0,1000.0,542.3398,0.1592676,true,162
38,4,1000.0,465.68213,0.4117558,true,133
39,5,1000.0,830.1112,0.27100188,true,173
40,2,1000.0,468.90067,0.5077157,false,94
41,2,1000.0,468.90067,0.4919153,true,129
42,4,1000.0,475.40942,0.995558,true,123
43,0,1000.0,538.6839,0.20453501,true,128
44,9,1000.0,603.78467,0.9674903,true,240
45,9,1000.0,603.78467,0.7711778,true,477
46,1,1000.0,734.82983,0.7972169,true,490
47,5,1000.0,830.1112,0.48881072,true,325
48,0,1000.0,568.65643,0.78454244,true,207
49,1,1000.0,666.4945,0.8966721,true,228
50,9,1000.0,603.78467,0.70097023,true,397
51,4,1000.0,463.36334,0.33219314,true,114
52,2,1000.0,468.90067,0.9526336,true,229
53,6,1000.0,474.9943,0.2801705,true,163
54,5,1000.0,830.1112,0.8669388,true,232
55,9,1000.0,603.78467,0.24080849,true,141
56,9,1000.0,603.78467,0.43058717,true,307
57,9,1000.0,603.78467,0.55415887,true,421
58,4,1000.0,984.82874,0.65918183,true,470
59,4,1000.0,514.05383,0.8616554,true,345
60,8,1000.0,550.03424,0.66241556,true,448
61,9,1000.0,4758.2637,0.65985006,true,504
62,9,1000.0,603.78467,0.3838727,true,240
63,8,1000.0,1779.2208,0.7071239,true,493
64,0,1000.0,568.5986,0.9407703,true,275
65,8,1000.0,550.03424,0.8810598,true,358
66,6,1000.0,474.9943,0.46649992,true,386
67,6,1000.0,474.9943,0.45232844,true,212
68,2,1000.0,468.90067,0.36762136,true,190
69,0,1000.0,3166.4585,0.6403499,true,484
70,9,1000.0,603.78467,0.94700074,true,233
71,5,1000.0,830.1112,0.74666363,true,458
72,4,1000.0,465.94308,0.41607082,true,225
73,8,1000.0,550.03424,0.12384611,true,146
74,6,1000.0,474.9943,0.42173302,true,210
75,0,1000.0,1458.8588,0.73098606,true,512
76,5,1000.0,830.1112,0.34720945,true,154
77,7,1000.0,584.9602,0.051136553,true,120
78,2,1000.0,468.90067,0.81119126,true,392
79,6,1000.0,3729.9785,0.70183045,true,505
80,2,1000.0,468.90067,0.98591965,true,194
81,2,1000.0,468.90067,0.15665722,true,133
82,9,1000.0,603.78467,0.5823743,true,357
83,1,1000.0,666.4945,0.61406577,true,457
84,5,1000.0,5914.061,0.6095334,true,488
85,4,1000.0,464.70782,0.19896978,false,95
86,6,1000.0,474.9943,0.30470932,true,138
87,3,1000.0,530.48346,0.36339718,true,208
88,1,1000.0,666.4945,0.95325005,true,241
89,9,1000.0,603.78467,0.56433964,true,289
90,0,1000.0,1892.3433,0.66844016,true,505
91,6,1000.0,474.9943,0.04012096,true,117
92,1,1000.0,666.4945,0.58622026,true,327
93,3,1000.0,530.48346,0.7810189,true,421
94,4,1000.0,463.64282,0.34438425,false,102
95,8,1000.0,1088.7155,0.5955375,true,488
96,0,1000.0,539.4358,0.16220367,true,135
97,0,1000.0,540.3423,0.5106415,true,239
98,0,1000.0,538.8265,0.31396616,true,128
99,9,1000.0,603.78467,0.61242974,true,351
100,3,1000.0,530.48346,0.29870456,true,136
101,8,1000.0,550.03424,0.83313596,true,345
102,0,1000.0,540.43756,0.54843295,true,235
103,0,1000.0,544.54926,0.12101251,true,122
104,4,1000.0,465.1415,0.08849335,true,131
105,2,1000.0,468.90067,0.8915632,true,271
106,0,1000.0,542.2256,0.16615808,true,126
107,1,1000.0,666.4945,0.6517595,true,480
108,9,1000.0,603.78467,0.49741942,true,359
109,9,1000.0,603.78467,0.21328413,true,161
110,1,1000.0,666.4945,0.4469397,true,166
111,6,1000.0,474.9943,0.9665138,true,220
112,1,1000.0,666.4945,0.15242171,true,223
113,9,1000.0,603.78467,0.27386457,true,160
114,9,1000.0,603.78467,0.33220017,true,184
115,1,1000.0,666.4945,0.1592884,true,134
116,0,1000.0,544.84906,0.2736433,true,151
117,2,1000.0,468.90067,0.12012315,true,126
118,1,1000.0,666.4945,0.28999227,true,126
119,6,1000.0,474.9943,0.06816286,true,113
120,1,1000.0,666.4945,0.7545563,true,305
121,9,1000.0,603.78467,0.11872828,true,115
122,5,1000.0,2753.6306,0.67371917,true,494
123,9,1000.0,603.78467,0.1896826,true,127
124,3,1000.0,530.48346,0.64400315,true,355
125,7,1000.0,584.9602,0.14675093,true,129
126,7,1000.0,584.9602,0.95347387,true,276
127,1,1000.0,666.4945,0.5371665,true,365
128,5,1000.0,830.1112,0.53406084,true,242
129,0,1000.0,561.10236,0.79057926,true,302
130,1,1000.0,666.4945,0.44890457,true,169
131,8,1000.0,550.03424,0.13432986,true,103
132,9,1000.0,603.78467,0.6076338,true,473
133,8,1000.0,550.03424,0.36960107,true,214
134,0,1000.0,538.8962,0.44251192,true,143
135,1,1000.0,666.4945,0.08562839,true,140
136,7,1000.0,584.9602,0.34968275,true,134
137,5,1000.0,830.1112,0.8510607,true,431
138,3,1000.0,795.7435,0.80228525,true,477
139,2,1000.0,468.90067,0.41472948,true,490
140,5,1000.0,830.1112,0.17599392,true,149
141,0,1000.0,559.4767,0.97249675,true,175
142,7,1000.0,584.9602,0.49258262,false,107
143,4,1000.0,465.12274,0.112517476,true,105
144,8,1000.0,550.03424,0.4833972,true,144
145,6,1000.0,474.9943,0.13816601,true,104
146,4,1000.0,3978.1956,0.6021624,true,513
147,9,1000.0,603.78467,0.08603859,true,109
148,4,1000.0,477.70294,0.8753374,true,180
149,5,1000.0,830.1112,0.90586114,true,361
150,3,1000.0,530.48346,0.7682719,true,414
151,2,1000.0,468.90067,0.94979215,true,239
152,0,1000.0,2447.643,0.56670666,true,481
153,4,1000.0,466.4366,0.1305272,true,110
154,0,1000.0,541.07056,0.1256988,false,109
155,1,1000.0,666.4945,0.8507743,true,215
156,3,1000.0,530.48346,0.22184217,true,118
157,4,1000.0,466.51285,0.081083775,true,88
158,5,1000.0,830.1112,0.15969288,true,171
159,4,1000.0,1269.7828,0.7686804,true,433
160,2,1000.0,468.90067,0.7295978,true,317
161,5,1000.0,830.1112,0.096859396,true,172
162,2,1000.0,468.90067,0.0916636,true,111
163,8,1000.0,550.03424,0.9826724,true,120
164,3,1000.0,530.48346,0.669394,true,485
165,0,1000.0,616.3422,0.60004324,true,346
166,8,1000.0,550.03424,0.6765592,true,441
167,0,1000.0,539.25665,0.6461171,false,116
168,6,1000.0,474.9943,0.47215348,true,187
169,8,1000.0,550.03424,0.5305618,true,259
170,9,1000.0,603.78467,0.5408347,true,290
171,8,1000.0,1745.3645,0.6607024,true,509
172,5,1000.0,24199.068,0.53002775,true,489
173,3,1000.0,530.48346,0.519786,true,296
174,4,1000.0,464.78842,0.43991464,false,89
175,5,1000.0,830.1112,0.29133666,true,233
176,5,1000.0,1454.8871,0.758822,true,457
177,1,1000.0,666.4945,0.3694747,true,130
178,2,1000.0,468.90067,0.06405604,true,110
179,3,1000.0,530.48346,0.21323854,true,116
180,2,1000.0,468.90067,0.36702377,true,143
181,6,1000.0,474.9943,0.65236187,true,308
182,9,1000.0,603.78467,0.2715193,true,142
183,5,1000.0,830.1112,0.9326225,true,263
184,0,1000.0,833.4159,0.8353418,true,407
185,4,1000.0,485.51068,0.50079274,true,399
186,1,1000.0,666.4945,0.8779519,true,342
187,1,1000.0,666.4945,0.7723872,false,119
188,1,1000.0,666.4945,0.3606615,true,138
189,4,1000.0,471.4408,0.8998154,true,211
190,6,1000.0,474.9943,0.38089192,true,148
191,8,1000.0,550.0342,0.8642124,true,394
192,2,1000.0,468.90067,0.26832306,true,107
193,3,1000.0,530.48346,0.051134586,true,104
194,6,1000.0,474.9943,0.2482974,true,129
195,6,1000.0,474.9943,0.83847064,true,352
196,8,1000.0,550.03424,0.14662868,true,135
197,9,1000.0,1239.415,0.62433326,true,480
198,1,1000.0,4455.3936,0.65000796,true,486
199,5,1000.0,830.1112,0.15336037,true,195
200,4,1000.0,476.44864,0.70748496,true,192
201,8,1000.0,550.03424,0.9617686,true,235
202,0,1000.0,3577.105,0.76104474,true,504
203,6,1000.0,474.9943,0.25466663,true,130
204,6,1000.0,4006.4832,0.62708694,true,494
205,5,1000.0,8351.694,0.5535487,true,504
206,0,1000.0,538.99786,0.015654802,true,135
207,6,1000.0,474.9943,0.0075547695,true,114
208,3,1000.0,530.48346,0.87054974,true,419
209,5,1000.0,830.1112,0.3489954,true,144
210,4,1000.0,489.48535,0.9410066,true,271
211,9,1000.0,603.78467,0.09180498,true,119
212,7,1000.0,584.9602,0.25439405,true,243
213,0,1000.0,3827.7048,0.7210013,true,508
214,8,1000.0,550.03424,0.44944245,true,178
215,6,1000.0,474.9943,0.30189234,true,131
216,8,1000.0,550.03424,0.25079244,true,188
217,8,1000.0,550.03424,0.14968538,true,120
218,5,1000.0,830.1112,0.71819466,true,460
219,3,1000.0,530.4835,0.9433196,true,275
220,2,1000.0,468.90067,0.2874816,true,132
221,8,1000.0,550.03424,0.9417539,true,240
222,3,1000.0,530.48346,0.035470843,true,121
223,9,1000.0,603.78467,0.7666088,true,465
224,6,1000.0,474.9943,0.04724765,true,112
225,9,1000.0,603.78467,0.55197406,true,293
226,6,1000.0,474.9943,0.24181545,true,132
227,4,1000.0,463.60785,0.13035733,true,104
228,7,1000.0,584.9602,0.52089006,true,257
229,1,1000.0,666.4945,0.32316476,true,133
230,0,1000.0,565.7612,0.64565337,true,379
231,5,1000.0,830.1112,0.3347658,true,176
232,2,1000.0,468.90067,0.8175716,true,363
233,4,1000.0,1851.9967,0.71111244,true,507
234,9,1000.0,603.78467,0.5419217,true,382
235,4,1000.0,465.45068,0.31704277,true,149
236,9,1000.0,603.78467,0.9864588,true,126
237,1,1000.0,666.4945,0.31081688,true,144
238,2,1000.0,1064.8116,0.7126965,true,509
239,6,1000.0,474.9943,0.15009367,true,106
240,5,1000.0,830.1112,0.35356116,false,126
241,5,1000.0,830.1112,0.25047427,true,267
242,4,1000.0,20015.791,0.5387202,true,500
243,2,1000.0,468.90067,0.03589934,true,123
244,1,1000.0,666.4945,0.12767345,true,137
245,0,1000.0,598.2818,0.76960313,true,286
246,0,1000.0,547.11523,0.600736,true,205
247,5,1000.0,830.1112,0.7349909,true,238
248,4,1000.0,465.31503,0.279329,true,113
249,4,1000.0,466.78632,0.04771954,true,107
250,8,1000.0,550.03424,0.8995361,true,184
251,4,1000.0,466.90195,0.6234269,false,77
252,4,1000.0,552.0684,0.94666904,true,271
253,2,1000.0,3890.1375,0.5999678,true,472
254,1,1000.0,666.4945,0.0736289,true,148
255,6,1000.0,474.9943,0.81867945,true,199
256,9,1000.0,603.78467,0.8721348,true,181
257,7,1000.0,584.9602,0.80611354,true,299
258,2,1000.0,468.90067,0.243433,true,140
259,9,1000.0,603.78467,0.06583512,true,122
260,7,1000.0,584.9602,0.6238891,true,365
261,6,1000.0,474.9943,0.38930398,true,124
262,6,1000.0,474.9943,0.3609022,true,138
263,0,1000.0,540.72327,0.32551676,true,273
264,9,1000.0,2043.4712,0.6058725,true,509
265,8,1000.0,550.03424,0.91100323,true,208
266,3,1000.0,530.48346,0.19348985,true,102
267,6,1000.0,474.9943,0.25493354,true,112
268,3,1000.0,530.48346,0.11040163,true,122
269,5,1000.0,830.1112,0.5985079,true,498
270,2,1000.0,468.90067,0.32135737,true,152
271,8,1000.0,550.03424,0.023463607,true,147
272,2,1000.0,468.90067,0.9172147,true,298
273,2,1000.0,468.90067,0.07144916,true,130
274,5,1000.0,830.1112,0.7767336,true,430
275,3,1000.0,530.48346,0.15417773,true,143
276,9,1000.0,603.78467,0.19287115,false,106
277,9,1000.0,603.78467,0.7836888,true,362
278,4,1000.0,465.35623,0.20433152,true,167
279,0,1000.0,541.56396,0.33270836,true,208
280,9,1000.0,2073.938,0.6944121,true,519
281,9,1000.0,603.78467,0.24701357,true,142
282,9,1000.0,3464.0312,0.6717283,true,485
283,3,1000.0,530.48346,0.37487155,true,237
284,4,1000.0,464.73694,0.53118646,true,403
285,9,1000.0,603.78467,0.35303575,true,132
286,5,1000.0,3958.859,0.5086147,true,501
287,1,1000.0,666.4945,0.79444754,true,372
288,2,1000.0,468.90067,0.98875034,true,155
289,6,1000.0,474.9943,0.35970527,true,153
290,6,1000.0,474.9943,0.8038207,true,225
291,7,1000.0,3662.6687,0.66252595,true,467
292,5,1000.0,830.1112,0.16874534,true,147
293,3,1000.0,530.48346,0.35884,true,138
294,4,1000.0,466.3505,0.4390232,true,146
295,6,1000.0,474.9943,0.69982266,true,245
296,2,1000.0,468.90067,0.44866204,true,283
297,0,1000.0,539.29694,0.29108036,true,173
298,3,1000.0,530.48346,0.7880417,true,349
299,9,1000.0,603.78467,0.7933737,true,434
300,5,1000.0,830.1112,0.0153951645,true,131
301,5,1000.0,830.1112,0.8246742,true,206
