Id,State,AgentInitMoney,AgentMoney,Talent,IsProducer,Purchases
0,71,1000.0,556.2671,0.20524848,true,509
1,44,1000.0,518.86993,0.34952986,true,465
2,52,1000.0,467.90628,0.05036843,true,451
3,181,1000.0,3593.8997,0.6304456,true,1996
4,77,1000.0,573.85254,0.86474353,true,1424
5,132,1000.0,473.73294,0.024599493,true,450
6,161,1000.0,294.12256,0.4543944,true,525
7,167,1000.0,474.27255,0.8064934,true,1037
8,75,1000.0,524.86743,0.019332945,true,468
9,13,1000.0,487.59885,0.07483369,true,457
10,113,1000.0,420.55927,0.9335477,true,739
11,25,1000.0,610.35956,0.6912032,true,1720
12,128,1000.0,4066.9028,0.5037769,true,1962
13,110,1000.0,4289.67,0.71822613,true,2012
14,83,1000.0,5505.6143,0.653999,true,1962
15,154,1000.0,435.066,0.79097396,true,1429
16,36,1000.0,4499.929,0.62026536,true,1970
17,141,1000.0,519.67316,0.9461766,true,1207
18,103,1000.0,496.81796,0.034446597,true,462
19,160,1000.0,509.81796,0.18087822,true,467
20,163,1000.0,459.45972,0.22565746,true,445
21,17,1000.0,453.61987,0.4154936,true,565
22,65,1000.0,487.95874,0.17457247,false,471
23,83,1000.0,539.93726,0.59579235,true,1104
24,13,1000.0,489.7126,0.3185376,true,518
25,184,1000.0,492.30206,0.38416028,true,543
26,154,1000.0,435.066,0.32433116,false,410
27,40,1000.0,471.64313,0.26255465,false,434
28,136,1000.0,565.85376,0.02061969,true,447
29,41,1000.0,509.1963,0.8978927,true,1565
30,31,1000.0,539.11847,0.91360235,true,794
31,143,1000.0,577.2269,0.30518234,true,460
32,59,1000.0,1048.029,0.09703088,false,742
33,154,1000.0,3794.4297,0.68452334,true,2035
34,159,1000.0,513.9278,0.91173846,true,1414
35,180,1000.0,360.0029,0.8051795,true,1277
36,92,1000.0,505.4814,0.41000593,true,572
37,90,1000.0,561.1768,0.46324062,false,510
38,153,1000.0,409.955,0.53653866,true,558
39,104,1000.0,573.72925,0.8489655,true,1776
40,97,1000.0,462.83466,0.95052356,true,998
41,135,1000.0,626.471,0.62571526,true,1454
42,74,1000.0,29690.338,0.5821801,true,2035
43,145,1000.0,398.05954,0.14445776,true,375
44,82,1000.0,486.10434,0.3424155,true,542
45,32,1000.0,351.90442,0.4961456,true,661
46,58,1000.0,446.22147,0.88563824,true,1153
47,188,1000.0,468.26508,0.038836956,true,415
48,29,1000.0,640.29956,0.9634808,true,681
49,4,1000.0,625.3843,0.6272523,true,1967
50,7,1000.0,366.46133,0.7011269,true,1540
51,57,1000.0,379.19427,0.019528687,true,421
52,191,1000.0,421.10852,0.07813448,true,469
53,184,1000.0,492.30206,0.8392537,true,1195
54,15,1000.0,519.8515,0.0020897985,true,438
55,30,1000.0,450.14853,0.030431569,true,413
56,129,1000.0,2692.656,0.6261248,true,1982
57,139,1000.0,434.18454,0.95885444,true,646
58,169,1000.0,548.52673,0.9802746,true,766
59,106,1000.0,474.36035,0.18542266,true,492
60,95,1000.0,539.15704,0.56184685,true,1870
61,29,1000.0,639.6557,0.46527618,true,656
62,195,1000.0,485.62473,0.2614205,true,485
63,34,1000.0,273.3664,0.7111724,true,1093
64,33,1000.0,472.43326,0.8887869,true,910
65,66,1000.0,402.44223,0.5003639,true,646
66,157,1000.0,382.59387,0.6070912,true,1389
67,126,1000.0,493.97867,0.2012999,true,463
68,37,1000.0,440.01004,0.7836269,true,1574
69,99,1000.0,529.9081,0.9497981,true,1180
70,124,1000.0,520.0844,0.12218368,true,453
71,181,1000.0,653.72876,0.5138995,true,1942
72,154,1000.0,435.066,0.4545405,true,694
73,108,1000.0,496.1557,0.552444,true,953
74,126,1000.0,493.97867,0.23764509,true,478
75,75,1000.0,665.64954,0.8944704,true,1680
76,142,1000.0,8941.336,0.62821305,true,1883
77,54,1000.0,368.25552,0.24486893,true,454
78,51,1000.0,361.70294,0.9879278,true,434
79,169,1000.0,548.35364,0.15628034,true,504
80,144,1000.0,631.09064,0.8101152,false,553
81,37,1000.0,440.01004,0.19806027,true,458
82,113,1000.0,414.70953,0.3527149,true,470
83,68,1000.0,362.5959,1.9460917E-4,true,387
84,182,1000.0,470.01306,0.7125627,true,1807
85,106,1000.0,474.36035,0.25337344,true,460
86,167,1000.0,474.27252,0.6824468,true,1084
87,180,1000.0,360.0029,0.80600154,true,729
88,183,1000.0,520.42,0.49509263,true,1485
89,138,1000.0,5772.195,0.71474254,true,2023
90,2,1000.0,465.69897,0.47718018,true,654
91,30,1000.0,447.9688,0.47726595,true,864
92,88,1000.0,3865.0945,0.71168834,true,2027
93,131,1000.0,2849.7378,0.70418453,true,2036
94,186,1000.0,325.39963,0.038311362,true,347
95,0,1000.0,466.34912,0.17174172,true,431
96,10,1000.0,490.23602,0.109383166,true,474
97,53,1000.0,449.49152,0.5376278,true,715
98,77,1000.0,654.2871,0.7626937,true,1451
99,155,1000.0,460.01038,0.9993744,true,440
100,26,1000.0,4817.392,0.67277515,true,2024
101,166,1000.0,491.4105,0.828097,true,703
102,161,1000.0,294.12256,0.098682046,true,429
103,27,1000.0,646.6827,0.019925714,true,524
104,150,1000.0,567.0345,0.5589838,true,1063
105,164,1000.0,343.60852,0.2732848,true,407
106,125,1000.0,385.42392,0.43363458,false,405
107,16,1000.0,587.9786,0.122250974,true,526
108,101,1000.0,405.38626,0.81757957,true,960
109,45,1000.0,523.86646,0.3345425,true,570
110,143,1000.0,574.7392,0.43240297,true,478
111,144,1000.0,624.4062,0.6172599,true,1142
112,158,1000.0,638.8268,0.040017843,true,521
113,177,1000.0,531.77313,0.26431984,true,498
114,127,1000.0,395.7514,0.59634316,true,1113
115,98,1000.0,6155.304,0.626594,true,1946
116,176,1000.0,374.45923,0.33310908,true,445
117,190,1000.0,400.20737,0.1890862,true,465
118,153,1000.0,411.61884,0.062377036,true,395
119,12,1000.0,596.0174,0.599049,true,1719
120,167,1000.0,474.27252,0.26105505,true,466
121,74,1000.0,675.22186,0.20476365,true,546
122,46,1000.0,629.0331,0.91163665,true,1562
123,116,1000.0,498.11185,0.53677636,true,1008
124,36,1000.0,5420.121,0.6505838,true,1999
125,28,1000.0,547.0967,0.691704,true,1300
126,51,1000.0,361.70294,0.5072226,true,661
127,81,1000.0,396.82217,0.76329356,true,1430
128,165,1000.0,530.59015,0.40371376,true,554
129,194,1000.0,447.59637,0.30623966,true,431
130,7,1000.0,366.46133,0.63060653,true,1673
131,26,1000.0,448.80322,0.31533402,true,444
132,48,1000.0,424.57956,0.71267855,true,747
133,195,1000.0,485.94067,0.35584164,true,446
134,17,1000.0,453.61987,0.4362111,true,644
135,189,1000.0,394.43066,0.29056966,true,450
136,12,1000.0,579.639,0.3215437,true,504
137,38,1000.0,510.6356,0.51491344,true,1120
138,62,1000.0,615.0919,0.49369657,true,814
139,112,1000.0,492.35577,0.7332356,false,429
140,78,1000.0,4234.868,0.7290466,true,1985
141,96,1000.0,384.86,0.08825463,true,396
142,182,1000.0,448.47122,0.4374863,true,560
143,58,1000.0,446.22147,0.889689,true,1646
144,39,1000.0,393.84467,0.47719055,true,1034
145,16,1000.0,587.9786,0.27922326,true,472
146,22,1000.0,470.984,0.9930627,true,494
147,154,1000.0,435.066,0.91593367,true,995
148,43,1000.0,623.47784,0.92012477,true,726
149,189,1000.0,394.43066,0.16962975,false,408
150,79,1000.0,559.17487,0.39956397,true,517
151,86,1000.0,561.46075,0.36914057,true,514
152,195,1000.0,484.9206,0.117841184,true,469
153,197,1000.0,595.2334,0.36839247,true,537
154,149,1000.0,476.26596,0.4982137,true,658
155,85,1000.0,507.6553,0.06519693,true,484
156,35,1000.0,549.24164,0.74921936,true,1738
157,72,1000.0,423.34558,0.53598744,true,645
158,175,1000.0,479.11325,0.006114006,true,458
159,84,1000.0,361.78412,0.13431364,true,436
160,163,1000.0,459.45972,0.18895084,true,458
161,66,1000.0,401.75186,0.24172217,true,410
162,12,1000.0,624.4466,0.74493366,true,1138
163,35,1000.0,504.5619,0.35672367,true,538
164,73,1000.0,429.17172,0.14287388,true,420
165,43,1000.0,639.71094,0.8608658,true,937
166,35,1000.0,699.17505,0.84402287,true,1893
167,8,1000.0,495.60358,0.110501766,true,447
168,132,1000.0,474.3987,0.48625076,true,761
169,122,1000.0,674.12665,0.46866608,true,621
170,146,1000.0,557.0001,0.18748492,true,464
171,2,1000.0,467.9687,0.5135367,true,767
172,114,1000.0,374.77695,0.19951743,true,397
173,76,1000.0,437.5014,0.93828547,true,924
174,71,1000.0,564.9526,0.6247375,true,1785
175,151,1000.0,1030.6074,0.59168833,true,2021
176,194,1000.0,448.66034,0.54603803,true,1381
177,1,1000.0,420.14737,0.6996861,true,1134
178,121,1000.0,5686.8906,0.7140929,true,2075
179,5,1000.0,479.4524,0.55515915,true,1111
180,114,1000.0,374.77695,0.88639486,true,959
181,110,1000.0,329.1231,0.8664964,true,662
182,110,1000.0,311.40677,0.018890738,true,352
183,3,1000.0,391.4506,0.5151131,true,1785
184,80,1000.0,1980.916,0.77374554,true,1974
185,123,1000.0,646.4383,0.68788934,true,1543
186,133,1000.0,444.06055,0.225712,true,443
187,184,1000.0,492.30206,0.22257191,true,436
188,36,1000.0,555.7408,0.22477782,false,465
189,46,1000.0,579.41064,0.5325048,true,1910
190,109,1000.0,649.87054,0.6042078,true,1287
191,146,1000.0,773.55005,0.6616203,true,2001
192,187,1000.0,484.94833,0.31079423,true,473
193,116,1000.0,498.11185,0.8614461,true,1627
194,132,1000.0,31746.41,0.5780726,true,2025
195,167,1000.0,1048.4811,0.57895213,true,2018
196,61,1000.0,609.5302,0.46345717,true,593
197,70,1000.0,366.5921,0.8973826,true,686
198,88,1000.0,525.90106,0.42669398,true,590
199,151,1000.0,452.8252,0.2817875,true,441
200,191,1000.0,421.10852,0.13972598,true,411
201,177,1000.0,566.3966,0.94678974,true,1256
202,32,1000.0,351.03568,0.38700962,true,414
203,79,1000.0,559.17487,0.286193,true,866
204,40,1000.0,471.64313,0.7405169,true,1790
205,187,1000.0,484.94833,0.58235717,true,973
