Id,Type,ProductionPrice,SellingPrice,Stock,Sales
0,24,0.0,2.2078714,0,525
1,33,0.0,101.80398,499,22
2,3,0.0,58.106052,436,31
3,18,0.0,65.71164,199,309
4,32,0.0,87.97793,482,21
5,39,0.0,259.0879,522,5
6,4,0.0,28.913774,320,170
7,28,0.0,1.624569,404,106
8,25,0.0,284.39215,480,11
9,44,0.0,6.418329,1,500
10,25,0.0,125.66941,350,141
11,48,0.0,38.93957,56,464
12,9,0.0,160.55952,502,0
13,4,0.0,52.584076,454,46
14,23,0.0,5.9072485,453,27
15,14,0.0,80.263664,204,293
16,44,0.0,44.50292,478,23
17,9,0.0,10.661498,0,512
18,36,0.0,64.14489,504,0
19,9,0.0,29.099747,192,315
20,31,0.0,204.25365,487,8
21,13,0.0,158.35579,470,20
22,40,0.0,61.39684,178,329
23,0,0.0,130.06918,443,54
24,31,0.0,9.364533,0,476
25,40,0.0,239.30737,491,18
26,22,0.0,1.1882129,0,487
27,46,0.0,137.11989,436,70
28,31,0.0,165.2023,502,35
29,25,0.0,62.632526,0,518
30,16,0.0,8.476719,0,518
31,2,0.0,86.08854,389,142
32,12,0.0,2.2984273,0,520
33,1,0.0,136.7614,399,98
34,9,0.0,41.882385,339,172
35,28,0.0,1.8272258,476,36
36,25,0.0,22.460583,0,504
37,28,0.0,1.7177374,433,98
38,24,0.0,10.106802,4,520
39,9,0.0,2.3907049,0,484
40,18,0.0,176.13158,473,22
41,8,0.0,112.35857,407,97
42,8,0.0,9.587729,0,495
43,39,0.0,14.657107,0,497
44,37,0.0,65.371475,338,146
45,20,0.0,131.49733,451,24
46,23,0.0,0.036053758,0,516
47,15,0.0,9.413629,0,505
48,2,0.0,93.94761,426,73
49,41,0.0,7.6773114,4,504
50,44,0.0,4.4707212,0,484
51,27,0.0,17.285534,0,0
52,42,0.0,242.50534,476,23
53,4,0.0,34.57819,0,0
54,5,0.0,88.59263,439,68
55,20,0.0,152.10782,451,20
56,25,0.0,127.11869,374,126
57,31,0.0,3.7030876,0,500
58,22,0.0,3.021221,281,229
59,40,0.0,199.09824,498,30
60,28,0.0,1.1957142,138,334
61,32,0.0,96.70985,473,19
62,23,0.0,1.6887132,1,532
63,40,0.0,46.774254,3,514
64,28,0.0,0.042987194,0,490
65,23,0.0,1.005054,1,517
66,29,0.0,59.609108,0,0
67,34,0.0,122.15361,487,25
68,17,0.0,6.0741363,1,484
69,29,0.0,75.4478,415,110
70,44,0.0,15.876196,182,310
71,39,0.0,192.15036,448,28
72,41,0.0,10.449935,179,357
73,49,0.0,89.04082,457,52
74,25,0.0,156.85957,431,65
75,20,0.0,109.52902,450,50
76,21,0.0,37.659058,0,502
77,37,0.0,8.763399,0,507
78,13,0.0,174.47617,502,17
79,14,0.0,49.998627,0,499
80,9,0.0,150.46298,506,3
81,31,0.0,102.78631,381,118
82,17,0.0,9.137413,0,491
83,16,0.0,49.21113,488,10
84,49,0.0,109.696815,477,15
85,22,0.0,4.4492154,389,126
86,12,0.0,1.224209,0,507
87,16,0.0,20.661146,211,304
88,7,0.0,8.145917,0,491
89,9,0.0,85.53144,454,51
90,25,0.0,98.18887,220,267
91,12,0.0,2.3858874,0,536
92,42,0.0,163.48497,445,53
93,32,0.0,14.712807,0,511
94,21,0.0,41.103134,0,510
95,11,0.0,18.68848,261,244
96,47,0.0,74.10949,205,290
97,27,0.0,36.662273,423,71
98,24,0.0,30.368362,475,13
99,17,0.0,38.18159,421,76
100,29,0.0,65.508705,345,148
101,19,0.0,84.59778,452,42
102,26,0.0,43.884396,10,501
103,27,0.0,30.971653,340,177
104,32,0.0,13.5389385,0,515
105,2,0.0,220.2383,487,16
106,49,0.0,77.22467,375,126
107,29,0.0,50.552505,273,224
108,34,0.0,60.29247,260,242
109,14,0.0,163.03252,462,42
110,30,0.0,16.21123,0,538
111,0,0.0,100.97729,352,150
112,35,0.0,75.815636,423,82
113,6,0.0,224.80402,485,26
114,2,0.0,137.00824,405,70
115,1,0.0,167.46414,483,35
116,28,0.0,1.7951229,427,54
117,14,0.0,7.8545747,0,516
118,9,0.0,22.9647,1,506
119,4,0.0,49.60373,433,66
120,22,0.0,2.5359907,130,374
121,27,0.0,6.997912,0,504
122,17,0.0,36.677845,402,81
123,45,0.0,206.74513,467,20
124,26,0.0,47.56145,131,348
125,35,0.0,82.18219,411,83
126,25,0.0,207.94373,500,25
127,18,0.0,137.88234,451,28
128,20,0.0,126.37301,489,40
129,2,0.0,5.989018,0,485
130,16,0.0,19.589857,118,383
131,17,0.0,36.23362,0,0
132,6,0.0,156.05092,359,131
133,6,0.0,221.21631,477,31
134,21,0.0,139.40785,464,42
135,43,0.0,240.59145,0,0
136,20,0.0,150.11528,468,22
137,3,0.0,56.491726,0,0
138,33,0.0,33.794624,11,501
139,28,0.0,1.586411,374,132
