Id,Type,ProductionPrice,SellingPrice,Stock,Sales
0,3,0.0,8.754928,0,1188
1,24,0.0,21.041245,0,1177
2,40,0.0,136.08601,1188,16
3,48,0.0,33.90251,0,1204
4,31,0.0,176.57115,1160,9
5,23,0.0,34.047955,1096,61
6,38,0.0,81.10052,35,1168
7,42,0.0,96.09716,1167,12
8,40,0.0,57.213257,16,1199
9,32,0.0,161.76808,1153,15
10,31,0.0,18.97734,0,1190
11,23,0.0,17.338764,0,1218
12,17,0.0,221.31274,1241,7
13,10,0.0,81.85944,1138,2
14,39,0.0,9.541706,0,1192
15,10,0.0,10.864551,0,1181
16,8,0.0,18.919096,14,1168
17,30,0.0,151.96346,1198,16
18,4,0.0,8.194502,0,1208
19,39,0.0,38.253235,492,728
20,44,0.0,66.16662,35,1135
21,17,0.0,71.923164,31,1208
22,26,0.0,203.44986,1188,11
23,2,0.0,208.83778,1186,11
24,15,0.0,55.244694,1167,17
25,49,0.0,154.28302,1210,0
26,38,0.0,147.27138,1158,16
27,34,0.0,68.33758,809,441
28,36,0.0,71.40868,7,1196
29,27,0.0,203.84898,1182,17
30,41,0.0,21.737944,0,1182
31,30,0.0,150.30852,1152,20
32,43,0.0,4.761796,0,1223
33,26,0.0,152.68196,1117,52
34,48,0.0,6.934254,0,1238
35,42,0.0,6.615146,0,1182
36,2,0.0,129.09885,1139,66
37,0,0.0,8.902631,0,1198
38,17,0.0,15.411967,0,1180
39,10,0.0,67.40378,1198,19
40,11,0.0,47.772224,31,1166
41,11,0.0,50.913216,773,403
42,0,0.0,129.266,1074,114
43,30,0.0,2.184233,0,1176
44,7,0.0,29.83769,1226,12
45,6,0.0,27.920195,35,1186
46,31,0.0,154.0866,1182,11
47,4,0.0,2.7164822,0,1229
48,28,0.0,173.21501,1165,7
49,32,0.0,19.271555,0,1166
50,5,0.0,129.85667,1170,13
51,47,0.0,2.9107277,0,1157
52,29,0.0,37.052876,412,754
53,12,0.0,9.692615,0,1173
54,7,0.0,29.870762,1179,20
55,32,0.0,145.1859,1098,63
56,26,0.0,36.701893,0,1198
57,32,0.0,224.57025,1206,6
58,15,0.0,8.5289545,0,1202
59,43,0.0,3.5370052,0,1233
60,18,0.0,124.76364,1060,125
61,24,0.0,12.744255,0,1207
62,39,0.0,33.76188,29,1159
63,23,0.0,38.401546,1176,19
64,36,0.0,98.458115,40,1174
65,46,0.0,5.0177255,0,1192
66,44,0.0,169.37889,1197,8
67,10,0.0,21.261147,0,1170
68,37,0.0,223.61246,1163,12
69,26,0.0,85.140335,27,1155
70,2,0.0,84.00109,40,1224
71,32,0.0,23.625898,0,1159
72,40,0.0,64.41387,32,1124
73,26,0.0,244.65558,1160,6
