Id,PopSize,VAT,Levy,Tariff,WealthTax,Allowance,Unemployment,Black,Gdp,StateMoney,PopTotalMoney,NbTransactions,ConnectedStates
0,235,0.0,0.0,0.0,0.0,Fair,0.05,0.15,2843936.5,0.0,232773.86,92976,
1,180,0.0,0.0,0.0,0.0,Fair,0.05,0.15,2111179.2,0.0,139462.97,61324,
2,189,0.0,0.0,0.0,0.0,Flat,0.05,0.15,2155209.8,0.0,179877.81,84086,
3,223,0.0,0.0,0.0,0.0,Flat,0.05,0.15,2540859.2,0.0,147188.94,87586,
4,212,0.0,0.0,0.0,0.0,Fair,0.05,0.15,2123734.8,0.0,122107.664,79161,
5,201,0.0,0.0,0.0,0.0,Flat,0.05,0.15,2017467.6,0.0,193572.48,76801,
6,174,0.0,0.0,0.0,0.0,Flat,0.05,0.15,2103342.8,0.0,246401.45,75049,
7,214,0.0,0.0,0.0,0.0,Flat,0.05,0.15,2520383.5,0.0,266439.5,78036,
8,195,0.0,0.0,0.0,0.0,Fair,0.05,0.15,2303395.0,0.0,291201.56,91253,
9,177,0.0,0.0,0.0,0.0,Fair,0.05,0.15,2101258.8,0.0,180971.25,76717,
