Id,PopSize,VAT,Levy,Tariff,WealthTax,Allowance,Unemployment,Black,Gdp,StateMoney,PopTotalMoney,NbTransactions,ConnectedStates
0,50,0.2,0.1,0.3,0.2,Flat,0.05,0.15,1162326.4,265.03333,63331.508,50267,
1,41,0.2,0.1,0.3,0.2,Flat,0.05,0.15,727520.56,133.75494,30447.992,25814,
2,59,0.2,0.1,0.3,0.2,Flat,0.05,0.15,1161716.9,243.32434,61096.51,38389,
3,65,0.2,0.1,0.3,0.2,Fair,0.05,0.15,1102010.8,48.208374,31360.684,40835,
4,55,0.2,0.1,0.3,0.2,Flat,0.05,0.15,842234.0,187.60349,44086.47,29932,
5,46,0.2,0.1,0.3,0.2,Fair,0.05,0.15,1041689.1,2.183487,47617.996,39570,
6,41,0.2,0.1,0.3,0.2,Flat,0.05,0.15,547013.25,130.28033,44942.766,15078,
7,46,0.2,0.1,0.3,0.2,Flat,0.05,0.15,1135159.9,279.2174,79764.23,36093,
8,52,0.2,0.1,0.3,0.2,Fair,0.05,0.15,1262756.4,2.9648051,68233.08,40258,
9,34,0.2,0.1,0.3,0.2,Flat,0.05,0.15,909006.7,230.49377,76720.24,26638,
10,51,0.2,0.1,0.3,0.2,Fair,0.05,0.15,889337.94,2.377411,58960.883,28487,
11,54,0.2,0.1,0.3,0.2,Fair,0.05,0.15,1175291.2,17.628115,49642.15,42055,
12,57,0.2,0.1,0.3,0.2,Fair,0.05,0.15,1294700.0,2.9741316,76849.37,38926,
13,52,0.2,0.1,0.3,0.2,Fair,0.05,0.15,1720509.2,3.9527512,90247.18,47904,
14,39,0.2,0.1,0.3,0.2,Fair,0.05,0.15,715206.75,44.66205,23604.117,26780,
15,51,0.2,0.1,0.3,0.2,Fair,0.05,0.15,610548.2,1.0556617,16782.363,24815,
16,41,0.2,0.1,0.3,0.2,Flat,0.05,0.15,728940.75,135.6145,30139.36,27583,
17,51,0.2,0.1,0.3,0.2,Fair,0.05,0.15,1037890.44,2.6289682,46203.1,39936,
18,62,0.2,0.1,0.3,0.2,Fair,0.05,0.15,1343063.1,3.4074097,68952.67,41077,
19,48,0.2,0.1,0.3,0.2,Flat,0.05,0.15,954358.2,169.3284,40856.69,38108,
20,54,0.2,0.1,0.3,0.2,Flat,0.05,0.15,952004.6,191.55206,47937.883,33501,
21,47,0.2,0.1,0.3,0.2,Fair,0.05,0.15,764756.4,42.3304,21282.139,21549,
22,62,0.2,0.1,0.3,0.2,Flat,0.05,0.15,1315742.5,301.0492,82555.984,45207,
23,54,0.2,0.1,0.3,0.2,Flat,0.05,0.15,1197368.2,305.38123,86433.77,37602,
24,59,0.2,0.1,0.3,0.2,Fair,0.05,0.15,1118082.9,2.1178753,40200.18,45192,
25,59,0.2,0.1,0.3,0.2,Fair,0.05,0.15,1202140.4,4.841881,52550.598,39077,
26,39,0.2,0.1,0.3,0.2,Flat,0.05,0.15,660421.6,99.521255,21449.867,27158,
27,41,0.2,0.1,0.3,0.2,Flat,0.05,0.15,573230.9,74.878265,13105.355,22131,
28,50,0.2,0.1,0.3,0.2,Fair,0.05,0.15,1287569.1,2.7660208,68185.625,43260,
29,49,0.2,0.1,0.3,0.2,Fair,0.05,0.15,1009103.25,79.24704,27689.148,36814,
30,49,0.2,0.1,0.3,0.2,Flat,0.05,0.15,1239524.6,330.19983,107139.85,34279,
31,47,0.2,0.1,0.3,0.2,Flat,0.05,0.15,786602.1,143.85754,34599.707,35867,
32,52,0.2,0.1,0.3,0.2,Flat,0.05,0.15,1076279.0,267.4199,70962.805,40720,
33,42,0.2,0.1,0.3,0.2,Flat,0.05,0.15,967524.7,224.39368,57470.16,30911,
34,50,0.2,0.1,0.3,0.2,Fair,0.05,0.15,1270812.4,3.032445,67017.93,35180,
35,39,0.2,0.1,0.3,0.2,Flat,0.05,0.15,1239931.4,394.58105,155040.73,34303,
36,54,0.2,0.1,0.3,0.2,Flat,0.05,0.15,708015.7,127.34972,26939.023,23560,
37,54,0.2,0.1,0.3,0.2,Fair,0.05,0.15,779555.6,1.7521284,28616.559,28471,
38,59,0.2,0.1,0.3,0.2,Fair,0.05,0.15,1168008.0,42.764267,41236.75,42074,
39,63,0.2,0.1,0.3,0.2,Flat,0.05,0.15,1106982.6,236.15973,59600.453,40837,
40,41,0.2,0.1,0.3,0.2,Fair,0.05,0.15,1108745.2,2.5822945,58867.074,34786,
41,56,0.2,0.1,0.3,0.2,Flat,0.05,0.15,1398206.6,364.6361,113870.98,32931,
42,52,0.2,0.1,0.3,0.2,Flat,0.05,0.15,1213688.0,263.0714,77701.734,37252,
43,48,0.2,0.1,0.3,0.2,Fair,0.05,0.15,916954.9,2.050393,40780.36,28348,
44,48,0.2,0.1,0.3,0.2,Fair,0.05,0.15,804350.44,1.539608,35677.914,25872,
45,47,0.2,0.1,0.3,0.2,Flat,0.05,0.15,1230102.0,268.1919,77357.8,38545,
46,56,0.2,0.1,0.3,0.2,Fair,0.05,0.15,1126403.2,43.782944,40800.51,43302,
47,47,0.2,0.1,0.3,0.2,Flat,0.05,0.15,831621.44,128.7558,26607.926,31669,
48,43,0.2,0.1,0.3,0.2,Fair,0.05,0.15,871592.3,27.48639,25473.758,32785,
49,53,0.2,0.1,0.3,0.2,Fair,0.05,0.15,1023918.75,17.617546,36191.5,38705,
50,59,0.2,0.1,0.3,0.2,Flat,0.05,0.15,1706964.6,567.23364,204684.88,50907,
51,45,0.2,0.1,0.3,0.2,Fair,0.05,0.15,1233667.8,3.3096485,84168.14,37808,
52,49,0.2,0.1,0.3,0.2,Fair,0.05,0.15,1206390.1,2.6610346,61032.92,41292,
53,44,0.2,0.1,0.3,0.2,Fair,0.05,0.15,1075365.6,2.1764526,44658.69,32722,
54,53,0.2,0.1,0.3,0.2,Flat,0.05,0.15,964591.8,220.68753,60423.65,31504,
55,45,0.2,0.1,0.3,0.2,Fair,0.05,0.15,668945.0,1.4243641,23416.383,22985,
56,55,0.2,0.1,0.3,0.2,Fair,0.05,0.15,923411.6,1.9309256,41187.254,32008,
57,50,0.2,0.1,0.3,0.2,Fair,0.05,0.15,1237876.5,2.4770536,57567.133,43880,
58,53,0.2,0.1,0.3,0.2,Flat,0.05,0.15,1369499.1,305.4663,79599.18,46212,
59,59,0.2,0.1,0.3,0.2,Flat,0.05,0.15,1504874.1,353.8883,101623.35,42304,
60,50,0.2,0.1,0.3,0.2,Fair,0.05,0.15,1152136.2,31.476486,31571.281,36354,
61,39,0.2,0.1,0.3,0.2,Fair,0.05,0.15,673266.7,1.4463906,27247.29,28291,
62,46,0.2,0.1,0.3,0.2,Fair,0.05,0.15,1027810.75,39.172897,39086.312,33753,
63,52,0.2,0.1,0.3,0.2,Fair,0.05,0.15,1606124.4,3.6451645,90326.805,38991,
64,56,0.2,0.1,0.3,0.2,Fair,0.05,0.15,1448833.1,3.8140888,98364.26,39096,
65,58,0.2,0.1,0.3,0.2,Flat,0.05,0.15,1409287.8,317.7915,88014.64,43166,
66,43,0.2,0.1,0.3,0.2,Flat,0.05,0.15,975923.75,183.48633,45605.742,31634,
67,58,0.2,0.1,0.3,0.2,Fair,0.05,0.15,1053116.2,1.7638247,41044.008,43041,
68,49,0.2,0.1,0.3,0.2,Flat,0.05,0.15,1118852.0,246.40475,63733.3,39164,
69,55,0.2,0.1,0.3,0.2,Fair,0.05,0.15,1354284.8,3.4873085,72086.14,41884,
70,49,0.2,0.1,0.3,0.2,Fair,0.05,0.15,1092104.9,2.6558247,59902.92,31648,
71,43,0.2,0.1,0.3,0.2,Fair,0.05,0.15,1116440.5,2.838306,59807.668,35417,
72,46,0.2,0.1,0.3,0.2,Fair,0.05,0.15,1035985.4,2.1067371,53071.875,36475,
73,44,0.2,0.1,0.3,0.2,Fair,0.05,0.15,678194.0,0.97190046,21841.758,23152,
74,32,0.2,0.1,0.3,0.2,Fair,0.05,0.15,494693.44,0.7812648,23150.91,14419,
75,47,0.2,0.1,0.3,0.2,Flat,0.05,0.15,904939.7,192.7168,59893.938,30767,
76,53,0.2,0.1,0.3,0.2,Fair,0.05,0.15,1056464.0,19.120125,40996.766,37692,
77,43,0.2,0.1,0.3,0.2,Fair,0.05,0.15,905515.0,22.86671,28393.176,36584,
78,42,0.2,0.1,0.3,0.2,Flat,0.05,0.15,891943.7,215.6636,61201.566,31125,
79,59,0.2,0.1,0.3,0.2,Fair,0.05,0.15,1208545.8,60.71145,30220.88,38646,
80,52,0.2,0.1,0.3,0.2,Flat,0.05,0.15,1110986.1,291.44153,79437.58,39767,
81,52,0.2,0.1,0.3,0.2,Fair,0.05,0.15,1342577.9,56.007545,46395.586,45204,
82,40,0.2,0.1,0.3,0.2,Flat,0.05,0.15,1115351.5,285.62585,87576.47,28340,
83,39,0.2,0.1,0.3,0.2,Fair,0.05,0.15,628177.6,1.076397,27749.88,22755,
84,51,0.2,0.1,0.3,0.2,Fair,0.05,0.15,920457.56,2.1319616,56161.984,28857,
85,54,0.2,0.1,0.3,0.2,Flat,0.05,0.15,1463103.6,405.23718,136806.62,32181,
86,44,0.2,0.1,0.3,0.2,Fair,0.05,0.15,887089.56,10.272263,38914.28,32120,
87,50,0.2,0.1,0.3,0.2,Flat,0.05,0.15,835908.9,141.8789,30527.25,30134,
88,52,0.2,0.1,0.3,0.2,Flat,0.05,0.15,1085239.1,199.02087,45476.69,38342,
89,59,0.2,0.1,0.3,0.2,Fair,0.05,0.15,1017245.6,2.296073,48580.24,31896,
90,35,0.2,0.1,0.3,0.2,Fair,0.05,0.15,654636.2,46.694946,20153.768,25490,
91,53,0.2,0.1,0.3,0.2,Fair,0.05,0.15,1104039.9,54.997093,37792.33,39488,
92,44,0.2,0.1,0.3,0.2,Flat,0.05,0.15,796210.7,86.599335,21899.822,25645,
93,50,0.2,0.1,0.3,0.2,Flat,0.05,0.15,1059452.9,253.44772,75312.016,31831,
94,44,0.2,0.1,0.3,0.2,Fair,0.05,0.15,1157386.8,2.8842168,64991.297,34134,
95,51,0.2,0.1,0.3,0.2,Flat,0.05,0.15,923346.2,158.28204,37469.83,30012,
