Tick,WorldNbTransactions,WorldStatesMoney,WorldAgentsMoney,WorldGdp
100,453758,117560.48,4.9791892E7,2.3610738E7
200,909281,118598.38,4.9790756E7,4.7686644E7
300,1354605,109483.055,4.9799928E7,7.0456976E7
400,1791326,104597.555,4.9804768E7,9.2066016E7
500,2223655,102362.945,4.9807088E7,1.1309128E8
600,2651746,100790.05,4.98082E7,1.33539248E8
700,3076763,99642.53,4.9809528E7,1.53664576E8
800,3499075,98693.94,4.981078E7,1.73439136E8
900,3917551,97830.15,4.9811276E7,1.92773456E8
1000,4332921,97626.51,4.9811812E7,2.11834112E8
1100,4746603,97620.31,4.981174E7,2.30737568E8
1200,5158682,97385.48,4.9811632E7,2.49347632E8
1300,5569346,97514.06,4.9811848E7,2.6780784E8
1400,5977305,97058.375,4.9812256E7,2.86057344E8
1500,6384277,96983.79,4.9812124E7,3.0411968E8
1600,6789221,96755.32,4.9812448E7,3.22056384E8
1700,7193023,96262.99,4.9813104E7,3.39848544E8
1800,7596893,96036.055,4.9813148E7,3.5753472E8
1900,7998648,95778.32,4.981354E7,3.75094944E8
2000,8400188,96066.49,4.9813096E7,3.92629888E8
2100,8801291,95706.61,4.9813604E7,4.10064E8
2200,9201485,95747.21,4.9813428E7,4.27478912E8
2300,9601077,95259.74,4.981392E7,4.44761856E8
2400,9998983,95025.36,4.9814332E7,4.61877088E8
2500,10395920,95177.516,4.9813988E7,4.7897552E8
2600,10792638,94775.08,4.9814328E7,4.95951296E8
2700,11189668,95073.93,4.981414E7,5.1294288E8
2800,11585583,94885.74,4.98144E7,5.29899328E8
2900,11980964,94758.75,4.9814564E7,5.4679757E8
3000,12375406,94735.375,4.9814456E7,5.6363974E8
