Tick,WorldNbTransactions,WorldStatesMoney,WorldAgentsMoney,WorldGdp
100,888246,167131.67,2.4832752E7,3.4691752E7
200,1657807,113928.336,2.4886288E7,5.9322256E7
300,2383172,94000.47,2.4905908E7,8.0349912E7
400,3072035,81812.05,2.4918138E7,9.9112568E7
500,3736306,73855.96,2.4926142E7,1.16354384E8
600,4383684,69040.59,2.4931266E7,1.3263416E8
700,5019304,65671.22,2.4934106E7,1.48193952E8
800,5643229,63306.86,2.4936654E7,1.63165296E8
900,6259074,61475.426,2.4938636E7,1.77655136E8
1000,6866779,59997.03,2.4939936E7,1.91742656E8
1100,7468929,58635.31,2.4941356E7,2.05498032E8
1200,8065964,57461.625,2.4942272E7,2.19027344E8
1300,8659646,56510.164,2.4943576E7,2.323384E8
1400,9249636,56067.94,2.4943774E7,2.454704E8
1500,9834989,55603.15,2.49444E7,2.58424592E8
1600,10416893,55067.625,2.4944914E7,2.71209696E8
1700,10995790,54703.977,2.4945214E7,2.83834176E8
1800,11572842,54116.883,2.4945864E7,2.96313376E8
1900,12147017,53592.062,2.4946096E7,3.08689824E8
2000,12719312,53139.707,2.4946916E7,3.20949568E8
2100,13289658,52695.887,2.4947372E7,3.3310544E8
2200,13857728,52466.12,2.4947618E7,3.4519984E8
2300,14423445,51958.1,2.4948076E7,3.57190496E8
2400,14988920,51698.473,2.4948372E7,3.69127776E8
2500,15552393,51413.383,2.4948494E7,3.80981824E8
2600,16115793,51015.977,2.4949034E7,3.92774336E8
2700,16676552,50776.668,2.4949244E7,4.0449296E8
2800,17235748,50532.742,2.4949346E7,4.16172352E8
2900,17794048,50258.09,2.4949654E7,4.27834144E8
3000,18351952,49901.074,2.4950216E7,4.39411264E8
